Agent_ID,Business_Name,Provider,State,Geo_Zone,LGA,Business_Category,Agent_Tier,KYC_Level,Terminal_Type,Registration_Date,Years_in_Business,Risk_Score,Average_Daily_Customers,Latitude,Longitude
AG000001,"Chukwu, Okonkwo and Balogun",OPay,Lagos,South West,Lagos East,Fuel Station,Gold,Tier 2,mPOS,2018-04-13,6.7,81.9,92,6.516836,3.43749
AG000002,Okafor and Sons,Paga,Lagos,South West,Lagos Market,Standalone POS Kiosk,Gold,Tier 3,Android POS,2020-09-30,4.3,50.9,91,6.557195,3.388937
AG000003,"Chukwu, Akinwale and Olawale",PalmPay,Lagos,South West,Lagos Rural,Provision Store,Bronze,Tier 2,Traditional POS,2019-07-26,5.4,31.9,23,6.544753,3.436469
AG000004,"Ojo, Adeyemi and Okonkwo",OPay,Lagos,South West,Lagos East,Standalone POS Kiosk,Bronze,Tier 3,Android POS,2024-02-12,0.9,94.8,24,6.572056,3.404854
AG000005,Abiola and Sons,Moniepoint,Lagos,South West,Lagos South,Standalone POS Kiosk,Bronze,Tier 3,mPOS,2024-08-15,0.4,72.8,24,6.545996,3.414055
AG000006,"Oyekan, Okonkwo and Akinwale",Moniepoint,Lagos,South West,Lagos Zone 14,Restaurant,Gold,Tier 2,Android POS,2018-05-11,6.6,48.9,112,6.516247,3.341955
AG000007,Akinwale Group,Moniepoint,Lagos,South West,Lagos Central,Standalone POS Kiosk,Bronze,Tier 2,Android POS,2019-01-19,6.0,11.9,16,6.535065,3.451951
AG000008,Ekwueme PLC,FirstMonie,Lagos,South West,Lagos Urban,Standalone POS Kiosk,Silver,Tier 1,Android POS,2020-08-10,4.4,31.6,55,6.485943,3.332205
AG000009,Okonkwo-Obi,OPay,Lagos,South West,Lagos Zone 17,Market Stall,Gold,Tier 2,mPOS,2024-10-01,0.3,25.3,91,6.424207,3.383145
AG000010,"Ojo, Ogunleye and Balogun",PalmPay,Lagos,South West,Lagos Central,Provision Store,Silver,Tier 2,Android POS,2024-04-17,0.7,85.0,55,6.373424,3.388392
AG000011,Abiola LLC,Moniepoint,Lagos,South West,Lagos Urban,Supermarket,Silver,Tier 1,Traditional POS,2024-02-11,0.9,79.0,63,6.475723,3.391029
AG000012,Olawale Group,Paga,Lagos,South West,Lagos Zone 14,Standalone POS Kiosk,Silver,Tier 3,Android POS,2020-06-21,4.5,49.7,68,6.489664,3.358736
AG000013,Nnamani LLC,FirstMonie,Lagos,South West,Lagos Zone 15,Standalone POS Kiosk,Silver,Tier 3,Android POS,2024-08-10,0.4,9.2,55,6.523935,3.426955
AG000014,"Balogun, Adeyemi and Ekwueme",Moniepoint,Lagos,South West,Lagos Market,Restaurant,Bronze,Tier 1,Android POS,2018-01-27,6.9,71.7,21,6.491494,3.364014
AG000015,"Chukwu, Adetokunbo and Olawale",Moniepoint,Lagos,South West,Lagos Metro,Standalone POS Kiosk,Bronze,Tier 3,Android POS,2022-09-28,2.3,44.0,29,6.534079,3.367887
AG000016,"Uche, Oyekan and Nnamani",Moniepoint,Lagos,South West,Lagos Zone 11,Standalone POS Kiosk,Platinum,Tier 2,Android POS,2021-02-12,3.9,39.9,188,6.595537,3.425511
AG000017,"Abiola, Olawale and Adeyemi",Moniepoint,Lagos,South West,Lagos West,Standalone POS Kiosk,Bronze,Tier 3,Traditional POS,2020-05-31,4.6,31.8,28,6.534266,3.389365
AG000018,"Okafor, Uche and Olawale",OPay,Lagos,South West,Lagos Zone 11,Standalone POS Kiosk,Silver,Tier 2,mPOS,2019-02-23,5.9,50.0,52,6.452207,3.264391
AG000019,Chukwu Group,OPay,Lagos,South West,Lagos South,Provision Store,Bronze,Tier 2,Android POS,2022-04-06,2.7,79.0,25,6.597023,3.359367
AG000020,Ekwueme-Nnamani,Moniepoint,Lagos,South West,Lagos East,Provision Store,Silver,Tier 3,Android POS,2022-01-10,3.0,66.0,59,6.446712,3.420094
AG000021,Nnamani LLC,OPay,Lagos,South West,Lagos Zone 12,Pharmacy,Bronze,Tier 3,Android POS,2024-10-08,0.2,69.2,20,6.606534,3.388815
AG000022,Balogun Ltd,Moniepoint,Lagos,South West,Lagos Market,Provision Store,Bronze,Tier 1,Android POS,2018-06-27,6.5,51.4,27,6.561441,3.353539
AG000023,"Olawale, Oyekan and Obi",Moniepoint,Lagos,South West,Lagos Zone 15,Provision Store,Bronze,Tier 2,Android POS,2024-01-06,1.0,49.4,26,6.474683,3.418149
AG000024,"Okafor, Obi and Ekwueme",OPay,Lagos,South West,Lagos East,Standalone POS Kiosk,Silver,Tier 2,mPOS,2022-03-31,2.8,51.7,30,6.465359,3.434916
AG000025,Balogun-Akinwale,OPay,Lagos,South West,Lagos South,Electronics Shop,Gold,Tier 2,mPOS,2024-03-11,0.8,15.8,105,6.553991,3.428243
AG000026,Ogunleye Inc,PalmPay,Lagos,South West,Lagos Industrial,Provision Store,Silver,Tier 2,Android POS,2024-12-08,0.1,32.0,47,6.532638,3.381744
