Date,Year,Quarter,Month_Number,Month_Name,Month_Short,Week_Number,Day,Day_Name,Weekend,YearMonth,MonthYear
2024-01-01,2024,Q1,1,January,Jan,1,1,Monday,False,2024-01,Jan-2024
2024-01-02,2024,Q1,1,January,Jan,1,2,Tuesday,False,2024-01,Jan-2024
2024-01-03,2024,Q1,1,January,Jan,1,3,Wednesday,False,2024-01,Jan-2024
2024-01-04,2024,Q1,1,January,Jan,1,4,Thursday,False,2024-01,Jan-2024
2024-01-05,2024,Q1,1,January,Jan,1,5,Friday,False,2024-01,Jan-2024
2024-01-06,2024,Q1,1,January,Jan,1,6,Saturday,True,2024-01,Jan-2024
2024-01-07,2024,Q1,1,January,Jan,1,7,Sunday,True,2024-01,Jan-2024
2024-01-08,2024,Q1,1,January,Jan,2,8,Monday,False,2024-01,Jan-2024
2024-01-09,2024,Q1,1,January,Jan,2,9,Tuesday,False,2024-01,Jan-2024
2024-01-10,2024,Q1,1,January,Jan,2,10,Wednesday,False,2024-01,Jan-2024
2024-01-11,2024,Q1,1,January,Jan,2,11,Thursday,False,2024-01,Jan-2024
2024-01-12,2024,Q1,1,January,Jan,2,12,Friday,False,2024-01,Jan-2024
2024-01-13,2024,Q1,1,January,Jan,2,13,Saturday,True,2024-01,Jan-2024
2024-01-14,2024,Q1,1,January,Jan,2,14,Sunday,True,2024-01,Jan-2024
2024-01-15,2024,Q1,1,January,Jan,3,15,Monday,False,2024-01,Jan-2024
2024-01-16,2024,Q1,1,January,Jan,3,16,Tuesday,False,2024-01,Jan-2024
2024-01-17,2024,Q1,1,January,Jan,3,17,Wednesday,False,2024-01,Jan-2024
2024-01-18,2024,Q1,1,January,Jan,3,18,Thursday,False,2024-01,Jan-2024
2024-01-19,2024,Q1,1,January,Jan,3,19,Friday,False,2024-01,Jan-2024
2024-01-20,2024,Q1,1,January,Jan,3,20,Saturday,True,2024-01,Jan-2024
2024-01-21,2024,Q1,1,January,Jan,3,21,Sunday,True,2024-01,Jan-2024
2024-01-22,2024,Q1,1,January,Jan,4,22,Monday,False,2024-01,Jan-2024
2024-01-23,2024,Q1,1,January,Jan,4,23,Tuesday,False,2024-01,Jan-2024
2024-01-24,2024,Q1,1,January,Jan,4,24,Wednesday,False,2024-01,Jan-2024
2024-01-25,2024,Q1,1,January,Jan,4,25,Thursday,False,2024-01,Jan-2024
2024-01-26,2024,Q1,1,January,Jan,4,26,Friday,False,2024-01,Jan-2024
2024-01-27,2024,Q1,1,January,Jan,4,27,Saturday,True,2024-01,Jan-2024
2024-01-28,2024,Q1,1,January,Jan,4,28,Sunday,True,2024-01,Jan-2024
2024-01-29,2024,Q1,1,January,Jan,5,29,Monday,False,2024-01,Jan-2024
2024-01-30,2024,Q1,1,January,Jan,5,30,Tuesday,False,2024-01,Jan-2024
2024-01-31,2024,Q1,1,January,Jan,5,31,Wednesday,False,2024-01,Jan-2024
2024-02-01,2024,Q1,2,February,Feb,5,1,Thursday,False,2024-02,Feb-2024
2024-02-02,2024,Q1,2,February,Feb,5,2,Friday,False,2024-02,Feb-2024
2024-02-03,2024,Q1,2,February,Feb,5,3,Saturday,True,2024-02,Feb-2024
2024-02-04,2024,Q1,2,February,Feb,5,4,Sunday,True,2024-02,Feb-2024
2024-02-05,2024,Q1,2,February,Feb,6,5,Monday,False,2024-02,Feb-2024
2024-02-06,2024,Q1,2,February,Feb,6,6,Tuesday,False,2024-02,Feb-2024
2024-02-07,2024,Q1,2,February,Feb,6,7,Wednesday,False,2024-02,Feb-2024
2024-02-08,2024,Q1,2,February,Feb,6,8,Thursday,False,2024-02,Feb-2024
2024-02-09,2024,Q1,2,February,Feb,6,9,Friday,False,2024-02,Feb-2024
2024-02-10,2024,Q1,2,February,Feb,6,10,Saturday,True,2024-02,Feb-2024
2024-02-11,2024,Q1,2,February,Feb,6,11,Sunday,True,2024-02,Feb-2024
2024-02-12,2024,Q1,2,February,Feb,7,12,Monday,False,2024-02,Feb-2024
2024-02-13,2024,Q1,2,February,Feb,7,13,Tuesday,False,2024-02,Feb-2024
2024-02-14,2024,Q1,2,February,Feb,7,14,Wednesday,False,2024-02,Feb-2024
2024-02-15,2024,Q1,2,February,Feb,7,15,Thursday,False,2024-02,Feb-2024
2024-02-16,2024,Q1,2,February,Feb,7,16,Friday,False,2024-02,Feb-2024
2024-02-17,2024,Q1,2,February,Feb,7,17,Saturday,True,2024-02,Feb-2024
2024-02-18,2024,Q1,2,February,Feb,7,18,Sunday,True,2024-02,Feb-2024
2024-02-19,2024,Q1,2,February,Feb,8,19,Monday,False,2024-02,Feb-2024
2024-02-20,2024,Q1,2,February,Feb,8,20,Tuesday,False,2024-02,Feb-2024
2024-02-21,2024,Q1,2,February,Feb,8,21,Wednesday,False,2024-02,Feb-2024
2024-02-22,2024,Q1,2,February,Feb,8,22,Thursday,False,2024-02,Feb-2024
2024-02-23,2024,Q1,2,February,Feb,8,23,Friday,False,2024-02,Feb-2024
2024-02-24,2024,Q1,2,February,Feb,8,24,Saturday,True,2024-02,Feb-2024
2024-02-25,2024,Q1,2,February,Feb,8,25,Sunday,True,2024-02,Feb-2024
2024-02-26,2024,Q1,2,February,Feb,9,26,Monday,False,2024-02,Feb-2024
2024-02-27,2024,Q1,2,February,Feb,9,27,Tuesday,False,2024-02,Feb-2024
2024-02-28,2024,Q1,2,February,Feb,9,28,Wednesday,False,2024-02,Feb-2024
2024-02-29,2024,Q1,2,February,Feb,9,29,Thursday,False,2024-02,Feb-2024
2024-03-01,2024,Q1,3,March,Mar,9,1,Friday,False,2024-03,Mar-2024
2024-03-02,2024,Q1,3,March,Mar,9,2,Saturday,True,2024-03,Mar-2024
2024-03-03,2024,Q1,3,March,Mar,9,3,Sunday,True,2024-03,Mar-2024
2024-03-04,2024,Q1,3,March,Mar,10,4,Monday,False,2024-03,Mar-2024
2024-03-05,2024,Q1,3,March,Mar,10,5,Tuesday,False,2024-03,Mar-2024
2024-03-06,2024,Q1,3,March,Mar,10,6,Wednesday,False,2024-03,Mar-2024
2024-03-07,2024,Q1,3,March,Mar,10,7,Thursday,False,2024-03,Mar-2024
2024-03-08,2024,Q1,3,March,Mar,10,8,Friday,False,2024-03,Mar-2024
2024-03-09,2024,Q1,3,March,Mar,10,9,Saturday,True,2024-03,Mar-2024
2024-03-10,2024,Q1,3,March,Mar,10,10,Sunday,True,2024-03,Mar-2024
2024-03-11,2024,Q1,3,March,Mar,11,11,Monday,False,2024-03,Mar-2024
2024-03-12,2024,Q1,3,March,Mar,11,12,Tuesday,False,2024-03,Mar-2024
2024-03-13,2024,Q1,3,March,Mar,11,13,Wednesday,False,2024-03,Mar-2024
2024-03-14,2024,Q1,3,March,Mar,11,14,Thursday,False,2024-03,Mar-2024
2024-03-15,2024,Q1,3,March,Mar,11,15,Friday,False,2024-03,Mar-2024
2024-03-16,2024,Q1,3,March,Mar,11,16,Saturday,True,2024-03,Mar-2024
2024-03-17,2024,Q1,3,March,Mar,11,17,Sunday,True,2024-03,Mar-2024
2024-03-18,2024,Q1,3,March,Mar,12,18,Monday,False,2024-03,Mar-2024
2024-03-19,2024,Q1,3,March,Mar,12,19,Tuesday,False,2024-03,Mar-2024
2024-03-20,2024,Q1,3,March,Mar,12,20,Wednesday,False,2024-03,Mar-2024
2024-03-21,2024,Q1,3,March,Mar,12,21,Thursday,False,2024-03,Mar-2024
2024-03-22,2024,Q1,3,March,Mar,12,22,Friday,False,2024-03,Mar-2024
2024-03-23,2024,Q1,3,March,Mar,12,23,Saturday,True,2024-03,Mar-2024
2024-03-24,2024,Q1,3,March,Mar,12,24,Sunday,True,2024-03,Mar-2024
2024-03-25,2024,Q1,3,March,Mar,13,25,Monday,False,2024-03,Mar-2024
2024-03-26,2024,Q1,3,March,Mar,13,26,Tuesday,False,2024-03,Mar-2024
2024-03-27,2024,Q1,3,March,Mar,13,27,Wednesday,False,2024-03,Mar-2024
2024-03-28,2024,Q1,3,March,Mar,13,28,Thursday,False,2024-03,Mar-2024
2024-03-29,2024,Q1,3,March,Mar,13,29,Friday,False,2024-03,Mar-2024
2024-03-30,2024,Q1,3,March,Mar,13,30,Saturday,True,2024-03,Mar-2024
2024-03-31,2024,Q1,3,March,Mar,13,31,Sunday,True,2024-03,Mar-2024
2024-04-01,2024,Q2,4,April,Apr,14,1,Monday,False,2024-04,Apr-2024
2024-04-02,2024,Q2,4,April,Apr,14,2,Tuesday,False,2024-04,Apr-2024
2024-04-03,2024,Q2,4,April,Apr,14,3,Wednesday,False,2024-04,Apr-2024
2024-04-04,2024,Q2,4,April,Apr,14,4,Thursday,False,2024-04,Apr-2024
2024-04-05,2024,Q2,4,April,Apr,14,5,Friday,False,2024-04,Apr-2024
2024-04-06,2024,Q2,4,April,Apr,14,6,Saturday,True,2024-04,Apr-2024
2024-04-07,2024,Q2,4,April,Apr,14,7,Sunday,True,2024-04,Apr-2024
2024-04-08,2024,Q2,4,April,Apr,15,8,Monday,False,2024-04,Apr-2024
2024-04-09,2024,Q2,4,April,Apr,15,9,Tuesday,False,2024-04,Apr-2024
2024-04-10,2024,Q2,4,April,Apr,15,10,Wednesday,False,2024-04,Apr-2024
2024-04-11,2024,Q2,4,April,Apr,15,11,Thursday,False,2024-04,Apr-2024
2024-04-12,2024,Q2,4,April,Apr,15,12,Friday,False,2024-04,Apr-2024
2024-04-13,2024,Q2,4,April,Apr,15,13,Saturday,True,2024-04,Apr-2024
2024-04-14,2024,Q2,4,April,Apr,15,14,Sunday,True,2024-04,Apr-2024
2024-04-15,2024,Q2,4,April,Apr,16,15,Monday,False,2024-04,Apr-2024
2024-04-16,2024,Q2,4,April,Apr,16,16,Tuesday,False,2024-04,Apr-2024
2024-04-17,2024,Q2,4,April,Apr,16,17,Wednesday,False,2024-04,Apr-2024
2024-04-18,2024,Q2,4,April,Apr,16,18,Thursday,False,2024-04,Apr-2024
2024-04-19,2024,Q2,4,April,Apr,16,19,Friday,False,2024-04,Apr-2024
2024-04-20,2024,Q2,4,April,Apr,16,20,Saturday,True,2024-04,Apr-2024
2024-04-21,2024,Q2,4,April,Apr,16,21,Sunday,True,2024-04,Apr-2024
2024-04-22,2024,Q2,4,April,Apr,17,22,Monday,False,2024-04,Apr-2024
2024-04-23,2024,Q2,4,April,Apr,17,23,Tuesday,False,2024-04,Apr-2024
2024-04-24,2024,Q2,4,April,Apr,17,24,Wednesday,False,2024-04,Apr-2024
2024-04-25,2024,Q2,4,April,Apr,17,25,Thursday,False,2024-04,Apr-2024
2024-04-26,2024,Q2,4,April,Apr,17,26,Friday,False,2024-04,Apr-2024
2024-04-27,2024,Q2,4,April,Apr,17,27,Saturday,True,2024-04,Apr-2024
2024-04-28,2024,Q2,4,April,Apr,17,28,Sunday,True,2024-04,Apr-2024
2024-04-29,2024,Q2,4,April,Apr,18,29,Monday,False,2024-04,Apr-2024
2024-04-30,2024,Q2,4,April,Apr,18,30,Tuesday,False,2024-04,Apr-2024
2024-05-01,2024,Q2,5,May,May,18,1,Wednesday,False,2024-05,May-2024
2024-05-02,2024,Q2,5,May,May,18,2,Thursday,False,2024-05,May-2024
2024-05-03,2024,Q2,5,May,May,18,3,Friday,False,2024-05,May-2024
2024-05-04,2024,Q2,5,May,May,18,4,Saturday,True,2024-05,May-2024
2024-05-05,2024,Q2,5,May,May,18,5,Sunday,True,2024-05,May-2024
2024-05-06,2024,Q2,5,May,May,19,6,Monday,False,2024-05,May-2024
2024-05-07,2024,Q2,5,May,May,19,7,Tuesday,False,2024-05,May-2024
2024-05-08,2024,Q2,5,May,May,19,8,Wednesday,False,2024-05,May-2024
2024-05-09,2024,Q2,5,May,May,19,9,Thursday,False,2024-05,May-2024
2024-05-10,2024,Q2,5,May,May,19,10,Friday,False,2024-05,May-2024
