State,Geo_Zone,LGA,Business_Activity_Index
Lagos,South West,Lagos Central,100
Lagos,South West,Lagos North,100
Lagos,South West,Lagos South,100
Lagos,South West,Lagos East,100
Lagos,South West,Lagos West,100
Lagos,South West,Lagos Metro,100
Lagos,South West,Lagos Urban,100
Lagos,South West,Lagos Rural,100
Lagos,South West,Lagos Market,100
Lagos,South West,Lagos Industrial,100
Lagos,South West,Lagos Zone 11,100
Lagos,South West,Lagos Zone 12,100
Lagos,South West,Lagos Zone 13,100
Lagos,South West,Lagos Zone 14,100
Lagos,South West,Lagos Zone 15,100
Lagos,South West,Lagos Zone 16,100
Lagos,South West,Lagos Zone 17,100
Lagos,South West,Lagos Zone 18,100
Lagos,South West,Lagos Zone 19,100
Lagos,South West,Lagos Zone 20,100
FCT,North Central,FCT Central,95
FCT,North Central,FCT North,95
FCT,North Central,FCT South,95
FCT,North Central,FCT East,95
FCT,North Central,FCT West,95
FCT,North Central,FCT Metro,95
FCT,North Central,FCT Urban,95
FCT,North Central,FCT Rural,95
FCT,North Central,FCT Market,95
FCT,North Central,FCT Industrial,95
FCT,North Central,FCT Zone 11,95
FCT,North Central,FCT Zone 12,95
FCT,North Central,FCT Zone 13,95
FCT,North Central,FCT Zone 14,95
FCT,North Central,FCT Zone 15,95
FCT,North Central,FCT Zone 16,95
FCT,North Central,FCT Zone 17,95
FCT,North Central,FCT Zone 18,95
Rivers,South South,Rivers Central,90
Rivers,South South,Rivers North,90
Rivers,South South,Rivers South,90
Rivers,South South,Rivers East,90
Rivers,South South,Rivers West,90
Rivers,South South,Rivers Metro,90
Rivers,South South,Rivers Urban,90
Rivers,South South,Rivers Rural,90
Rivers,South South,Rivers Market,90
Rivers,South South,Rivers Industrial,90
Rivers,South South,Rivers Zone 11,90
Rivers,South South,Rivers Zone 12,90
Rivers,South South,Rivers Zone 13,90
Rivers,South South,Rivers Zone 14,90
Kano,North West,Kano Central,88
Kano,North West,Kano North,88
Kano,North West,Kano South,88
Kano,North West,Kano East,88
Kano,North West,Kano West,88
Kano,North West,Kano Metro,88
Kano,North West,Kano Urban,88
Kano,North West,Kano Rural,88
Kano,North West,Kano Market,88
Kano,North West,Kano Industrial,88
Kano,North West,Kano Zone 11,88
Kano,North West,Kano Zone 12,88
Kano,North West,Kano Zone 13,88
Kano,North West,Kano Zone 14,88
Kano,North West,Kano Zone 15,88
Kano,North West,Kano Zone 16,88
Oyo,South West,Oyo Central,82
Oyo,South West,Oyo North,82
Oyo,South West,Oyo South,82
Oyo,South West,Oyo East,82
Oyo,South West,Oyo West,82
Oyo,South West,Oyo Metro,82
Oyo,South West,Oyo Urban,82
Oyo,South West,Oyo Rural,82
Oyo,South West,Oyo Market,82
Oyo,South West,Oyo Industrial,82
Oyo,South West,Oyo Zone 11,82
Oyo,South West,Oyo Zone 12,82
Ogun,South West,Ogun Central,80
Ogun,South West,Ogun North,80
Ogun,South West,Ogun South,80
Ogun,South West,Ogun East,80
Ogun,South West,Ogun West,80
Ogun,South West,Ogun Metro,80
Ogun,South West,Ogun Urban,80
Ogun,South West,Ogun Rural,80
Ogun,South West,Ogun Market,80
Ogun,South West,Ogun Industrial,80
Kaduna,North West,Kaduna Central,77
Kaduna,North West,Kaduna North,77
Kaduna,North West,Kaduna South,77
Kaduna,North West,Kaduna East,77
Kaduna,North West,Kaduna West,77
Kaduna,North West,Kaduna Metro,77
